CURRENT,TORQUE,SPEED,POWER
14.76,0,8156.72 ,0.00 
24.01,0.16,7883.53 ,0.13 
31.98,0.29,7564.25 ,0.23 
40.98,0.45,7028.77 ,0.33 
52.03,0.62,6723.35 ,0.44 
64.64,0.84,6231.34 ,0.55 
74.04,0.99,6091.69 ,0.63 
83.98,1.12,5656.63 ,0.66 
91.35,1.24,5373.36 ,0.70 
100.17,1.39,4945.18 ,0.72 
106.38,1.49,4856.36 ,0.76 
116.85,1.61,4635.76 ,0.78 
126.33,1.8,4202.08 ,0.79 
131.77,1.89,3977.17 ,0.79 
143.57,2.03,3640.42 ,0.77 
152.03,2.15,3425.71 ,0.77 
168.88,2.29,2629.08 ,0.63 
182.44,2.49,2041.52 ,0.53 
192.98,2.61,1828.42 ,0.50 
203.34,2.75,1255.13 ,0.36 
300.38,4.11,0.00 ,0.00 
